날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 2월 27일,8818.6,8800.1,8968.3,8538.5,1.13M,0.21%
2020년 2월 26일,8800.3,9317.1,9368.1,8672,1.32M,-5.55%
2020년 2월 25일,9317.2,9662.6,9672.3,9269.8,937.97K,-3.57%
2020년 2월 24일,9662.7,9943.2,9981,9507,980.00K,-2.82%
2020년 2월 23일,9942.7,9655.6,9965.6,9653.4,775.88K,2.97%
2020년 2월 22일,9655.7,9684.5,9706.5,9569.8,589.88K,-0.30%
2020년 2월 21일,9684.5,9602.2,9747.1,9574.5,716.61K,0.85%
2020년 2월 20일,9602.4,9611.9,9681.4,9448.9,870.80K,-0.07%
2020년 2월 19일,9609.4,10158.6,10230.9,9424.3,905.95K,-5.40%
2020년 2월 18일,10158.4,9701.5,10230.1,9601.6,945.91K,4.71%
2020년 2월 17일,9701.4,9931.7,9951.5,9468.9,961.88K,-2.32%
2020년 2월 16일,9932.3,9907.4,10056.4,9654.9,808.91K,0.25%
2020년 2월 15일,9907.7,10336,10369.8,9831.7,808.81K,-4.12%
2020년 2월 14일,10333,10235.5,10372.4,10125.2,732.51K,0.96%
2020년 2월 13일,10235.1,10321.9,10482.6,10116.9,940.30K,-0.80%
2020년 2월 12일,10317.7,10229.3,10435.6,10229.3,803.25K,0.86%
2020년 2월 11일,10229.5,9854,10314.1,9725.1,791.28K,3.81%
2020년 2월 10일,9854.1,10151.5,10181.7,9774.8,781.22K,-2.93%
2020년 2월 9일,10151.5,9895.4,10157.1,9882.7,617.35K,2.59%
2020년 2월 8일,9895.5,9817.3,9931.2,9673.2,551.31K,0.78%
2020년 2월 7일,9818.6,9771.9,9872.5,9738.7,608.96K,0.48%
2020년 2월 6일,9772,9611.8,9854.9,9536.1,778.67K,1.67%
2020년 2월 5일,9611.8,9194.1,9726.8,9179.9,771.46K,4.54%
2020년 2월 4일,9193.9,9296.5,9347.5,9193.9,651.68K,-1.10%
2020년 2월 3일,9296.6,9334.6,9582.8,9243.1,701.39K,-0.41%
2020년 2월 2일,9334.9,9381.5,9465.4,9183.1,683.37K,-0.50%
2020년 2월 1일,9381.6,9349.3,9458.8,9301.5,458.42K,0.35%
2020년 1월 31일,9349.1,9508.3,9525,9222.3,633.37K,-1.66%
2020년 1월 30일,9507.3,9299.1,9569,9209.2,765.21K,2.24%
2020년 1월 29일,9298.9,9377.3,9428.7,9250.9,749.88K,-0.84%
2020년 1월 28일,9377.3,8866.6,9389.5,8866.6,954.20K,5.76%
2020년 1월 27일,8866.6,8608.1,8983.1,8585.6,706.45K,3.01%
2020년 1월 26일,8607.8,8341.6,8607.8,8304.9,468.34K,3.19%
2020년 1월 25일,8341.6,8439.9,8447.6,8277.2,444.00K,-1.17%
2020년 1월 24일,8439.9,8404.9,8522,8242.6,617.02K,0.41%
2020년 1월 23일,8405.1,8678.5,8687.3,8309.6,722.67K,-3.15%
2020년 1월 22일,8678.5,8733,8805.4,8610.8,509.06K,-0.62%
2020년 1월 21일,8732.6,8642,8770.3,8524,540.20K,1.05%
2020년 1월 20일,8641.9,8705.7,8740.1,8539.2,599.06K,-0.74%
2020년 1월 19일,8706.2,8916.3,9183.7,8552.8,975.01K,-2.36%
2020년 1월 18일,8916.3,8913,8982.3,8814.6,627.74K,0.04%
2020년 1월 17일,8913.1,8726.7,9005.1,8675.9,794.11K,2.13%
2020년 1월 16일,8726.9,8818.1,8850,8605.8,748.32K,-1.04%
2020년 1월 15일,8818.3,8827.9,8904,8615.5,1.17M,-0.12%
2020년 1월 14일,8829.2,8111.2,8898.7,8111.2,1.48M,8.85%
2020년 1월 13일,8111.4,8188.3,8196.7,8068.4,610.66K,-0.93%
2020년 1월 12일,8187.6,8023.3,8189.9,7973.1,595.22K,2.04%
2020년 1월 11일,8024.1,8187.8,8262.9,8008.4,776.75K,-1.99%
2020년 1월 10일,8187.1,7842.5,8187.4,7697.7,1.05M,4.40%
2020년 1월 9일,7842.4,8060,8065.9,7779.2,786.50K,-2.70%
2020년 1월 8일,8059.6,8154.2,8436.4,7900.8,1.19M,-1.18%
2020년 1월 7일,8155.7,7759.1,8182,7754.1,1.01M,5.11%
2020년 1월 6일,7759.1,7372.6,7783.1,7366.7,786.75K,5.24%
2020년 1월 5일,7372.5,7376.8,7501,7345.6,628.14K,-0.06%
2020년 1월 4일,7376.8,7345.1,7433.1,7291.4,523.91K,0.46%
2020년 1월 3일,7343.1,6967.1,7402.9,6884.1,936.29K,5.40%
2020년 1월 2일,6967,7199.7,7209.6,6901.4,632.78K,-3.23%
2020년 1월 1일,7199.8,7196.4,7259.4,7180,420.28K,0.05%
2019년 12월 31일,7196.4,7261.5,7331,7167.4,586.60K,-0.90%
2019년 12월 30일,7261.8,7397.5,7420.9,7244.1,606.11K,-1.84%
2019년 12월 29일,7397.5,7321.6,7518.9,7303,611.69K,1.04%
2019년 12월 28일,7321.5,7261.9,7375.9,7256.5,610.96K,0.82%
2019년 12월 27일,7261.7,7210.8,7293.8,7128.5,718.07K,0.70%
2019년 12월 26일,7210.9,7225,7414.3,7177.3,795.09K,-0.19%
2019년 12월 25일,7224.8,7268.3,7542.4,7150.9,625.41K,-0.60%
2019년 12월 24일,7268.3,7322.4,7433.2,7185.7,785.54K,-0.74%
2019년 12월 23일,7322.8,7496.2,7684,7276.2,952.16K,-2.31%
2019년 12월 22일,7495.8,7156.3,7501.1,7142,677.94K,4.74%
2019년 12월 21일,7156.2,7196.4,7197.6,7129.6,468.74K,-0.56%
2019년 12월 20일,7196.4,7165.5,7218.4,7107.7,627.04K,0.43%
2019년 12월 19일,7165.5,7276.4,7354,7039.3,778.72K,-1.52%
2019년 12월 18일,7276,6613.5,7387.7,6462.2,1.14M,10.02%
2019년 12월 17일,6613.3,6903.5,6943.5,6575,894.55K,-4.20%
2019년 12월 16일,6903.5,7128.5,7153.1,6864.6,689.56K,-3.16%
2019년 12월 15일,7128.5,7080.8,7175.8,7033.8,492.58K,0.67%
2019년 12월 14일,7080.8,7255.2,7267.4,7043.3,524.56K,-2.40%
2019년 12월 13일,7255.2,7208.4,7288,7200.3,503.49K,0.65%
